=== Part A: band-consistent alternating branches, n=2, R<= 100.0 ===
  inf R=  36.333 D=    0.600051 band=True r=1.014357 a_scaled=-5.183e+00 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  inf R=  38.782 D=    0.554803 band=True r=1.013390 a_scaled=-4.892e+00 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  inf R=  41.231 D=    0.515505 band=True r=1.012542 a_scaled=-4.633e+00 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  inf R=  43.679 D=    0.481083 band=True r=1.011793 a_scaled=-4.403e+00 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  inf R=  46.128 D=    0.450705 band=True r=1.011125 a_scaled=-4.196e+00 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  inf R=  48.577 D=    0.423713 band=True r=1.010527 a_scaled=-4.009e+00 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  inf R=  51.026 D=    0.399586 band=True r=1.009988 a_scaled=-3.839e+00 f/(a x^2)=[np.float64(1.0), np.float64(0.9998)]
  inf R=  53.474 D=    0.377901 band=True r=1.009501 a_scaled=-3.684e+00 f/(a x^2)=[np.float64(1.0), np.float64(0.9998)]
  inf R=  55.923 D=    0.358314 band=True r=1.009057 a_scaled=-3.542e+00 f/(a x^2)=[np.float64(1.0), np.float64(0.9998)]
  inf R=  58.372 D=    0.340541 band=True r=1.008652 a_scaled=-3.412e+00 f/(a x^2)=[np.float64(1.0), np.float64(0.9998)]
  inf R=  60.821 D=    0.324348 band=True r=1.008281 a_scaled=-3.291e+00 f/(a x^2)=[np.float64(1.0), np.float64(0.9998)]
  inf R=  63.269 D=    0.309538 band=True r=1.007940 a_scaled=-3.179e+00 f/(a x^2)=[np.float64(1.0), np.float64(0.9998)]
  inf R=  65.718 D=    0.295945 band=True r=1.007625 a_scaled=-3.076e+00 f/(a x^2)=[np.float64(1.0), np.float64(0.9998)]
  inf R=  68.167 D=    0.283429 band=True r=1.007333 a_scaled=-2.979e+00 f/(a x^2)=[np.float64(1.0), np.float64(0.9998)]
  inf R=  70.615 D=    0.271869 band=True r=1.007062 a_scaled=-2.889e+00 f/(a x^2)=[np.float64(1.0), np.float64(0.9998)]
  inf R=  73.064 D=    0.261163 band=True r=1.006810 a_scaled=-2.805e+00 f/(a x^2)=[np.float64(1.0), np.float64(0.9998)]
  inf R=  75.513 D=    0.251222 band=True r=1.006575 a_scaled=-2.725e+00 f/(a x^2)=[np.float64(1.0), np.float64(0.9998)]
  inf R=  77.962 D=    0.241968 band=True r=1.006356 a_scaled=-2.651e+00 f/(a x^2)=[np.float64(1.0), np.float64(0.9998)]
  inf R=  80.410 D=    0.233334 band=True r=1.006150 a_scaled=-2.581e+00 f/(a x^2)=[np.float64(1.0), np.float64(0.9998)]
  inf R=  82.859 D=    0.225261 band=True r=1.005957 a_scaled=-2.515e+00 f/(a x^2)=[np.float64(1.0), np.float64(0.9998)]
  inf R=  85.308 D=    0.217698 band=True r=1.005775 a_scaled=-2.452e+00 f/(a x^2)=[np.float64(1.0), np.float64(0.9998)]
  inf R=  87.756 D=    0.210598 band=True r=1.005604 a_scaled=-2.393e+00 f/(a x^2)=[np.float64(1.0), np.float64(0.9998)]
  inf R=  90.205 D=    0.203922 band=True r=1.005442 a_scaled=-2.337e+00 f/(a x^2)=[np.float64(1.0), np.float64(0.9998)]
  inf R=  92.654 D=    0.197634 band=True r=1.005289 a_scaled=-2.283e+00 f/(a x^2)=[np.float64(1.0), np.float64(0.9998)]
  inf R=  95.103 D=    0.191701 band=True r=1.005144 a_scaled=-2.233e+00 f/(a x^2)=[np.float64(1.0), np.float64(0.9998)]
  inf R=  97.551 D=    0.186095 band=True r=1.005007 a_scaled=-2.184e+00 f/(a x^2)=[np.float64(1.0), np.float64(0.9998)]
  inf R= 100.000 D=    0.180790 band=True r=1.004877 a_scaled=-2.138e+00 f/(a x^2)=[np.float64(1.0), np.float64(0.9998)]
  inf R=   3.500 D=   10.644146 band=True r=1.162444 a_scaled=-4.313e+01 f/(a x^2)=[np.float64(1.0), np.float64(1.0)]
  inf R=   3.416 D=   10.970669 band=True r=1.166317 a_scaled=-4.412e+01 f/(a x^2)=[np.float64(1.0), np.float64(1.0)]
  inf R=   3.331 D=   11.315691 band=True r=1.170372 a_scaled=-4.516e+01 f/(a x^2)=[np.float64(1.0), np.float64(1.0)]
  inf R=   3.247 D=   11.680764 band=True r=1.174623 a_scaled=-4.625e+01 f/(a x^2)=[np.float64(1.0), np.float64(1.0)]
  inf R=   3.162 D=   12.067612 band=True r=1.179085 a_scaled=-4.740e+01 f/(a x^2)=[np.float64(1.0), np.float64(1.0)]
  inf R=   3.078 D=   12.478162 band=True r=1.183772 a_scaled=-4.861e+01 f/(a x^2)=[np.float64(1.0), np.float64(1.0)]
  inf R=   2.993 D=   12.914567 band=True r=1.188704 a_scaled=-4.989e+01 f/(a x^2)=[np.float64(1.0), np.float64(1.0)]
  inf R=   2.909 D=   13.379244 band=True r=1.193899 a_scaled=-5.124e+01 f/(a x^2)=[np.float64(1.0), np.float64(1.0)]
  inf R=   2.824 D=   13.874917 band=True r=1.199378 a_scaled=-5.267e+01 f/(a x^2)=[np.float64(1.0), np.float64(1.0)]
  inf R=   2.740 D=   14.404659 band=True r=1.205167 a_scaled=-5.419e+01 f/(a x^2)=[np.float64(1.0), np.float64(1.0)]
  inf R=   2.655 D=   14.971956 band=True r=1.211293 a_scaled=-5.580e+01 f/(a x^2)=[np.float64(1.0), np.float64(1.0)]
  inf R=   2.571 D=   15.580777 band=True r=1.217784 a_scaled=-5.752e+01 f/(a x^2)=[np.float64(1.0), np.float64(1.0)]
  inf R=   2.486 D=   16.235657 band=True r=1.224676 a_scaled=-5.935e+01 f/(a x^2)=[np.float64(1.0), np.float64(1.0)]
