=== Part A: band-consistent alternating branches, n=3, R<= 30.0 ===
  inf R=  14.308 D=    1.158932 band=True r=1.004994 a_scaled=-1.213e+01 f/(a x^2)=[np.float64(1.0), np.float64(0.9998)]
  inf R=  14.962 D=    1.077087 band=True r=1.004620 a_scaled=-1.149e+01 f/(a x^2)=[np.float64(1.0), np.float64(0.9998)]
  inf R=  15.615 D=    1.004146 band=True r=1.004287 a_scaled=-1.091e+01 f/(a x^2)=[np.float64(1.0), np.float64(0.9998)]
  inf R=  16.269 D=    0.938831 band=True r=1.003990 a_scaled=-1.038e+01 f/(a x^2)=[np.float64(1.0), np.float64(0.9997)]
  inf R=  16.923 D=    0.880087 band=True r=1.003724 a_scaled=-9.897e+00 f/(a x^2)=[np.float64(1.0), np.float64(0.9997)]
  inf R=  17.577 D=    0.827039 band=True r=1.003485 a_scaled=-9.451e+00 f/(a x^2)=[np.float64(1.0), np.float64(0.9997)]
  inf R=  18.231 D=    0.778955 band=True r=1.003268 a_scaled=-9.040e+00 f/(a x^2)=[np.float64(1.0), np.float64(0.9997)]
  inf R=  18.885 D=    0.735219 band=True r=1.003072 a_scaled=-8.660e+00 f/(a x^2)=[np.float64(1.0), np.float64(0.9997)]
  inf R=  19.538 D=    0.695306 band=True r=1.002894 a_scaled=-8.308e+00 f/(a x^2)=[np.float64(1.0), np.float64(0.9997)]
  inf R=  20.192 D=    0.658773 band=True r=1.002731 a_scaled=-7.980e+00 f/(a x^2)=[np.float64(1.0), np.float64(0.9997)]
  inf R=  20.846 D=    0.625238 band=True r=1.002582 a_scaled=-7.676e+00 f/(a x^2)=[np.float64(1.0), np.float64(0.9997)]
  inf R=  21.500 D=    0.594373 band=True r=1.002446 a_scaled=-7.391e+00 f/(a x^2)=[np.float64(1.0), np.float64(0.9997)]
  inf R=  22.154 D=    0.565893 band=True r=1.002320 a_scaled=-7.126e+00 f/(a x^2)=[np.float64(1.0), np.float64(0.9997)]
  inf R=  22.808 D=    0.539553 band=True r=1.002204 a_scaled=-6.877e+00 f/(a x^2)=[np.float64(1.0), np.float64(0.9997)]
  inf R=  23.462 D=    0.515136 band=True r=1.002097 a_scaled=-6.643e+00 f/(a x^2)=[np.float64(1.0), np.float64(0.9997)]
  inf R=  24.115 D=    0.492456 band=True r=1.001997 a_scaled=-6.423e+00 f/(a x^2)=[np.float64(1.0), np.float64(0.9997)]
  inf R=  24.769 D=    0.471346 band=True r=1.001905 a_scaled=-6.216e+00 f/(a x^2)=[np.float64(1.0), np.float64(0.9997)]
  inf R=  25.423 D=    0.451660 band=True r=1.001819 a_scaled=-6.021e+00 f/(a x^2)=[np.float64(1.0), np.float64(0.9997)]
  inf R=  26.077 D=    0.433270 band=True r=1.001739 a_scaled=-5.837e+00 f/(a x^2)=[np.float64(1.0), np.float64(0.9997)]
  inf R=  26.731 D=    0.416061 band=True r=1.001665 a_scaled=-5.663e+00 f/(a x^2)=[np.float64(1.0), np.float64(0.9996)]
  inf R=  27.385 D=    0.399931 band=True r=1.001595 a_scaled=-5.498e+00 f/(a x^2)=[np.float64(1.0), np.float64(0.9996)]
  inf R=  28.038 D=    0.384788 band=True r=1.001530 a_scaled=-5.341e+00 f/(a x^2)=[np.float64(1.0), np.float64(0.9996)]
  inf R=  28.692 D=    0.370552 band=True r=1.001468 a_scaled=-5.192e+00 f/(a x^2)=[np.float64(1.0), np.float64(0.9996)]
  inf R=  29.346 D=    0.357149 band=True r=1.001411 a_scaled=-5.051e+00 f/(a x^2)=[np.float64(1.0), np.float64(0.9996)]
  inf R=  30.000 D=    0.344514 band=True r=1.001357 a_scaled=-4.917e+00 f/(a x^2)=[np.float64(1.0), np.float64(0.9996)]
  inf R=   3.500 D=   11.109283 band=True r=1.054484 a_scaled=-6.018e+01 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  inf R=   3.416 D=   11.536091 band=True r=1.056674 a_scaled=-6.174e+01 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  inf R=   3.331 D=   11.989686 band=True r=1.059002 a_scaled=-6.338e+01 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  inf R=   3.247 D=   12.472445 band=True r=1.061482 a_scaled=-6.510e+01 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  inf R=   3.162 D=   12.987017 band=True r=1.064126 a_scaled=-6.691e+01 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  inf R=   3.078 D=   13.536369 band=True r=1.066950 a_scaled=-6.882e+01 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  inf R=   2.993 D=   14.123834 band=True r=1.069970 a_scaled=-7.083e+01 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  inf R=   2.909 D=   14.753162 band=True r=1.073205 a_scaled=-7.296e+01 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  inf R=   2.824 D=   15.428593 band=True r=1.076677 a_scaled=-7.521e+01 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  inf R=   2.740 D=   16.154931 band=True r=1.080410 a_scaled=-7.760e+01 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  inf R=   2.655 D=   16.937642 band=True r=1.084429 a_scaled=-8.013e+01 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  inf R=   2.571 D=   17.782972 band=True r=1.088767 a_scaled=-8.283e+01 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  inf R=   2.486 D=   18.698082 band=True r=1.093457 a_scaled=-8.571e+01 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  inf R=   2.402 D=   19.691219 band=True r=1.098540 a_scaled=-8.878e+01 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  inf R=   2.317 D=   20.771929 band=True r=1.104061 a_scaled=-9.207e+01 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
  inf R=   2.233 D=   21.951314 band=True r=1.110072 a_scaled=-9.561e+01 f/(a x^2)=[np.float64(1.0), np.float64(0.9999)]
